S1 S2 S3 S4
66.855 15.939 47.857 46.107
89.373 55.357 47.654 15.583
97.727 50.592 60.41 80.282
65.554 21.752 52.359 63.623
96.701 29.17 60.143 26.471
88.776 42.081 40.561 97.033
82.01 56.414 47.575 71.959
63.05 50.598 51.898 15.344
55.77 56.557 39.961 37.688
48.943 19.71 52.901 62.616
88.644 21.357 34.411 39.864
90.271 21.34 64.582 91.526
74.793 19.396 54.43 42.897
81.716 49.221 45.417 19.573
76.937 20.209 30.32 30.941
61.855 25.308 48.179 53.36
96.553 52.455 61.619 58.543
94.916 58.385 52.212 43.416
88.171 49.616 53.532 31.83
51.909 47.198 64.648 55.057
89.235 23.101 65.386 87.322
90.808 44.123 52.18 30.834
96.815 47.803 66.678 104.513
82.723 24.06 46.962 65.57
94.453 53.409 46.147 46.79
90.68 51.336 40.381 152.883
98.795 23.117 40.25 73.919
93.134 54.042 52.397 11.256
74.739 58.077 38.979 24.698
37.074 26.245 49.51 58.955
78.191 57.953 41.705 29.678
86.971 11.606 56.984 21.343
98.513 51.879 40.652 39.195
63.227 16.055 43.224 35.522
84.102 47.843 58.472 21.78
90.54 46.795 51.574 25.421
97.798 57.048 40.986 24.947
54.563 24.349 47.942 100.418
63.26 59.481 53.33 92.448
86.525 57.181 45.461 113.32
54.261 16.644 72.378 17.306
98.899 17.208 51.941 37.917
72.21 52.056 48.396 80.449
92.23 25.759 56.534 46.239
93.492 51.096 43.271 28.128
88.356 29.742 39.441 128.654
70.92 20.887 52.351 91.171
90.593 25.793 58.468 52.804
98.836 50.245 50.51 17.94
89.818 49.078 52.5 72.6
91.695 47.549 50.232 83.901
53.948 18.965 43.041 107.061
77.271 47.261 31.629 34.412
37.262 48.771 49.872 111.482
59.284 22.745 51.317 14.35
91.695 7.979 57.818 33.922
93.792 19.989 55.863 50.573
78.887 18.482 54.778 95.88
93.049 45.332 35.918 27.384
99.424 20.23 52.828 21.975
92.833 19.83 48.648 85.417
97.919 15.748 65.209 77.715
82.827 23.025 58.026 18.569
93.877 42.744 47.89 42.691
55.71 46.948 34.467 104.938
97.805 46.342 71.235 32.73
90.475 54.358 46.541 19.901
78.355 11.981 58.196 52.753
55.909 19.692 61.306 41.373
98.942 23.051 44.151 13.047
90.03 52.095 42.292 73.023
60.048 24.179 37.017 53.797
92.523 49.94 44.074 25.622
92.783 22.407 56.396 49.761
92.341 39.555 41.185 15.302
80.83 26.561 57.865 10.565
92.075 24.938 48.138 27.974
93.351 55.414 24.713 86.224
63.894 50.038 66.704 41.183
87.659 23.187 56.614 98.529
57.059 17.029 59.028 38.417
96.196 20.806 41.606 17.195
86.173 19.225 57.256 80.061
23.149 53.774 60.168 25.774
92.969 52.627 60.132 76.478
92.734 53.665 46.368 12.528
95.568 13.091 18.774 126.426
89.947 20.242 40.873 49.548
93.95 47.058 47.386 15.976
39.297 24.381 38.167 87.918
69.57 48.079 62.998 36.617
33.93 54.558 46.169 117.528
74.884 47.478 40.308 41.374
89.709 20 55.198 84.726
89.898 51.177 44.968 26.786
83.524 18.095 56.248 144.103
52.027 53.722 51.488 40.401
49.46 46.77 52.283 33.08
96.11 23.746 66.004 46.251
96.711 27.84 28.048 85.138
11.598 26.699 66.104 31.355
61.284 18.248 58.434 132.917
90.956 18.841 51.407 18.114
92.256 47.72 53.635 13.133
49.223 19.271 49.865 28.481
52.514 12.166 49.588 28.741
91.645 22.42 52.319 12.371
77.783 16.96 47.618 46.751
77.592 51.844 58.376 47.458
85.575 27.957 28.391 12.76
59.001 19.998 42.823 114.032
76.316 16.554 50.012 17.866
89.881 50.966 40.119 18.184
99.027 25.663 49.194 55.471
84.367 18.414 54.228 29.528
91.815 25.218 54.798 33.67
87.833 20.797 47.681 46.28
29.4 18.888 36.38 15.441
77.714 54.38 40.775 36.563
76.598 49.567 41.725 115.062
98.409 13.46 70 99.461
78.36 21.415 48.595 41.201
99.109 50.031 41.43 20.395
89.696 21.87 35.097 20.815
93.036 48.901 55.51 25.677
77.147 23.033 35.352 51.009
